濱江果菜市場地下停車場-1,121.537871,25.067963
濱江果菜市場地下停車場-2,121.537872,25.067964
興隆公共住宅2區-1,121.56248,24.988281
興隆公共住宅2區-2,121.562481,24.988282
興隆公共住宅2區-3,121.562482,24.988283
興隆公共住宅2區-4,121.562483,24.988284
八德立體停車埸-1,121.571671,25.050007
八德立體停車埸-2,121.571672,25.050008
八德立體停車埸-3,121.571673,25.050009
八德立體停車埸-4,121.571674,25.05001
八德立體停車埸-5,121.571675,25.050011
八德立體停車埸-6,121.571676,25.050012
南湖高中運動中心地下停車場-1,121.611174,25.067368
南湖高中運動中心地下停車場-2,121.611175,25.067369
臺北魚市地下停車場,121.536726,25.06697
台北市立天文科學教育館地下停車場,121.518289,25.09614
建國北路高架橋下A區-1,121.536523,25.051546
建國北路高架橋下A區-2,121.536524,25.051547
建國北路高架橋下B區-1,121.536748,25.049981
建國北路高架橋下B區-2,121.536749,25.049982
建國北路高架橋下C區-1,121.536849,25.0534
建國北路高架橋下C區-2,121.53685,25.053401
建國北路高架橋下D區-1,121.536863,25.0542
建國北路高架橋下D區-2,121.536864,25.054201
建國北路高架橋下E區-1,121.536969,25.056569
建國北路高架橋下E區-2,121.53697,25.05657
建國北路高架橋下F區-1,121.536931,25.057189
建國北路高架橋下F區-2,121.536932,25.05719
建國北路高架橋下G區-1,121.536976,25.059302
建國北路高架橋下G區-2,121.536977,25.059303
建國北路高架橋下J區-1,121.536077,25.065842
建國北路高架橋下J區-2,121.536078,25.065843
建國北路高架橋下O區-1,121.536701,25.046893
建國北路高架橋下O區-2,121.536702,25.046894
建國北路高架橋下IA區-1,121.536923,25.063141
建國北路高架橋下IA區-2,121.536924,25.063142
建國北路高架橋下IB區-1,121.537013,25.064442
建國北路高架橋下IB區-2,121.537014,25.064443
建國北路高架橋下H區-1,121.536954,25.060757
建國北路高架橋下H區-2,121.536955,25.060758
"台北市第一殯儀館平面停車場1- ",121.535686,25.06629
台北市第一殯儀館平面停車場-2,121.535687,25.066291
台北市第二殯儀館平面停車場-1,121.552934,25.01377
台北市第二殯儀館平面停車場-2,121.552935,25.013771
辛亥路高架橋下停車場-1,121.533674,25.022411
辛亥路高架橋下停車場-2,121.533675,25.022412
台北花博公園超級充電站-1,121.521784,25.068886
台北花博公園超級充電站-2,121.521785,25.068887
台北花博公園超級充電站3,121.521786,25.068888
台北花博公園超級充電站-4,121.521787,25.068889
台北花博公園超級充電站-5,121.521788,25.06889
